role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
React Native Developer(Fresher),Silversky Technology,Not hiring,Ahmedabad,6 Months," 10,000-12,000 ","Communication, Teamwork"
Business Development (Sales),Monospace Marketing,Not hiring,Work from home,3 Months," 1,000  +  Incentives","Sales, Negotiation, Business Strategy"
"CA, ACCA, CMA",Tanuj Agrawal And Company,Not hiring,Jaipur,3 Months,"5,000","Communication, Teamwork"
Web Development,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid,"HTML,css,react,node,mongoDB"
Video Editing/Making,Shivam Kumar,Not hiring,Work from home,2 Months," 1,000 /week +  Incentives","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),Cats Edutech Private Limited,Not hiring,Nagpur,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Content Writing,The Vision Foundation,Not hiring,Delhi                                                            (Hybrid),3 Months,Unpaid,"Content Writing, Editing, SEO"
Digital Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Work from home,1 Month," 1,000 /week +  Incentives","SEO, Google Ads, Social Media Marketing"
Media In Filmmaking,Green Earth Pictures,Not hiring,Mumbai                                                            (Hybrid),1 Month," 2,500-3,000 ","Film Production, Direction, Editing"
Subject Matter Expert (SME),LearnAsYouGo Private Limited,Actively hiring,Work from home,3 Months," 5,000-10,000 ","Communication, Teamwork"
REAL TIME DOUBT SOLVER (PCMB),LearnAsYouGo Private Limited,Actively hiring,Work from home,3 Months," 5,000-10,000 ","Communication, Teamwork"
Marketing And Event Coordinator,Shiv Nadar School,Not hiring,Gurgaon,3 Months," 15,000-20,000 ","Marketing Strategy, Communication, Market Research"
E-Commerce Catalog Management,Woodzon,Not hiring,Bangalore,3 Months,"15,000","Communication, Teamwork"
Business Research,Amit S,Not hiring,Pune                                                            (Hybrid),2 Months," 8,000-10,000 ","Sales, Negotiation, Business Strategy"
Backend Developer (Golang),Factly Media & Research,Actively hiring,Work from home,6 Months,"15,000","Go,docker"
Reactjs Development,Factly Media & Research,Actively hiring,Work from home,6 Months,"15,000","React,javaScript,Express"
Backend Developer (Rust Programming),Factly Media & Research,Actively hiring,Work from home,6 Months,"15,000","Communication, Teamwork"
Product Management,"EmendoAI (San Francisco, United States)",Actively hiring,Work from home,6 Months,"15,000","Communication, Teamwork"
Social Work,Paulson Education,Not hiring,"Chennai, Keralapuram, Keralassery, Tamil Nadu",6 Months," 2,000  +  Incentives","Communication, Teamwork"
"Commerce, Accounting & Finance - Content Writing",Earth5R,Actively hiring,Work from home,1 Month,Unpaid,"Accounting, Tally, Excel"
Content Writing,"Halo (Dubai, United Arab Emirates)",Actively hiring,Work from home,6 Months," 10,000-15,000 ","Content Writing, Editing, SEO"
Business Development (Sales),HIGHCLOUDS STEM TECHNOLOGIES PVT. LTD.,Not hiring,Greater Noida,3 Months," 8,000  +  Incentives","Sales, Negotiation, Business Strategy"
Web Design - Content Writing,Earth5R,Actively hiring,Work from home,1 Month,Unpaid,"Graphic Design, Photoshop, Illustrator,CSS,Figma"
Full Stack Development,Accredian,Actively hiring,Work from home,6 Months,"15,000","React,Node,Express,Next,SQL"
Business Development (Sales),Cannibals Media Pvt. Ltd.,Actively hiring,Work from home,1 Month," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Entrepreneurship (S),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 ","Leadership, Innovation, Social Impact"
Business Development (Sales),Pawzz,Actively hiring,Work from home,2 Weeks," 1,500-5,000 ","Sales, Negotiation, Business Strategy"
Marketing (Youth Connective),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 ","Marketing Strategy, Communication, Market Research"
Teaching,Scienceplace,Not hiring,Delhi,6 Months," 10,000 /week +  Incentives","Teaching, Curriculum Design, Communication"
Video Editing/Making,Social Siyappa,Not hiring,Work from home,6 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Android App Development,Atharva Lohiya,Actively hiring,Work from home,6 Months," 10,000-15,000 ","App Development, Flutter, React Native"
Marketing,The Konsol,Not hiring,Pune                                                            (Hybrid),3 Months," 2,000-4,000 ","Marketing Strategy, Communication, Market Research"
Photography,Hustle,Not hiring,Bangalore,3 Months," 5,000-7,000 ","photography,lightroom,photoshop,image editing"
Full Stack Development,Platform Integration Software Technologies LLP,Not hiring,Amritsar                                                            (Hybrid),3 Months," 8,000-12,000 ","React,Node,Express,Next,SQL"
Video Editing/Making,Artha,Not hiring,Work from home,1 Month," 2,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Digital Marketing,Gymforce Technologies Llp,Not hiring,Work from home,2 Months,"1,000","SEO, Google Ads, Social Media Marketing"
Search Engine Optimization (SEO),Elegant Systems Pvt Ltd,Not hiring,Work from home,6 Months,"5,000","SEO, Google Analytics, Keyword Research"
Content Marketing,Qodex.ai,Not hiring,Work from home,6 Months,"10,000","Marketing Strategy, Communication, Market Research"
HR Corporate Relations,GetReady4Job,Not hiring,Hyderabad                                                            (Hybrid),3 Months," 5,000-8,000 ","Recruitment, HR Management, Communication"
Corporate Sales,Chayam Tea,Not hiring,Kolkata,4 Months,"15,000","Sales, Negotiation, CRM"
Research And Social Media,Readers Libration Private Limited,Not hiring,West,6 Months,"12,000","Research, Analysis, Report Writing"
Android App Development,Kontact Services,Not hiring,Noida,3 Months," 4,000-8,000 ","App Development, Flutter, React Native"
Recruitment,Hexerve Solution Inc,Not hiring,Noida,1 Month," 3,000-6,000 ","Communication, Teamwork"
Social Media Marketing,Wine Growers Association Of India,Not hiring,Work from home,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
3D Visualizor,Hempal Studio,Not hiring,Jaipur,6 Months,"7,000","Communication, Teamwork"
Financial Markets Research,Fortress Financial Group,Not hiring,Bangalore                                                            (Hybrid),3 Months,"5,000","Research, Analysis, Report Writing"
UGC (Reels) Video Creator,Regent Edu Connect,Not hiring,Work from home,6 Months,"7,000","Video Editing, Premiere Pro, After Effects"
Technology,Rankersgrid By Cognolabs,Not hiring,"Somajiguda, Hyderabad.",6 Months,"10,000","Communication, Teamwork"
Graphic Design,Ageancy Media,Not hiring,Akurdi,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Content Writing,Drishtency By BM,Not hiring,Mumbai                                                            (Hybrid),6 Months,"5,000","Content Writing, Editing, SEO"
Accounting & Bookkeeping,AJH Consulting,Not hiring,Delhi,6 Months,"8,000","Accounting, Tally, Excel"
Digital Marketing,Arson,Not hiring,Work from home,6 Months," 1,000  +  Incentives","SEO, Google Ads, Social Media Marketing"
Interior Design,Greysco,Not hiring,Work from home,5 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,Hkmpune,Not hiring,Work from home,3 Months," 1,500 /week +  Incentives","Marketing Strategy, Communication, Market Research"
Interior Design,Apexverse Opc Pvt Ltd,Not hiring,Noida,2 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Game Development,Arkham Archives,Not hiring,Work from home,2 Months,"1,500","C,unity,blender"
E-commerce Operations,Zwag Folks Private Limited,Not hiring,Delhi,6 Months,"15,000","Operations Management, Coordination, MS Excel"
Microsoft Business Central Consultant,Zelite Solutions Pvt Ltd,Not hiring,Pune,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Sports & Technology Marketing,Nimblemindz Technologies,Not hiring,Pune                                                            (Hybrid),6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Sales (Cold Calling),Banana Byte Software Solutions,Not hiring,Work from home,1 Month," 30,000-50,000 ","Sales, Negotiation, CRM"
Sales,Skinkart Healthcare India,Not hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",6 Months," 10,000  +  Incentives","Sales, Negotiation, CRM"
Digital Marketing,Creator Mediator,Not hiring,Mumbai,6 Months," 2,000  +  Incentives","SEO, Google Ads, Social Media Marketing"
Telecalling,Red Otter Farms,Not hiring,Delhi,3 Months," 10,000  +  Incentives","Communication, Sales, Customer Handling"
Cosmetic Formulator,Tilt Cosmetics,Not hiring,Bangalore                                                            (Hybrid),1 Month," 5,000-7,000 ","Communication, Teamwork"
Human Resources (HR),Dmgiants,Not hiring,Work from home,2 Months," 1,000 lump sum +  Incentives","Recruitment, HR Management, Communication"
Digital Marketing,AppsArmy,Not hiring,Work from home,3 Months," 6,000-7,500 ","SEO, Google Ads, Social Media Marketing"
Content Writing,Misfit Humans,Not hiring,Gurgaon                                                            (Hybrid),1 Month,"5,000","Content Writing, Editing, SEO"
Editorial,BurdaLuxury,Not hiring,Mumbai,2 Months,"7,000","Communication, Teamwork"
Digital Marketing,White Kaleido,Not hiring,Work from home,6 Months," 6,000-10,000 ","SEO, Google Ads, Social Media Marketing"
Pre Sales,Gemba Concepts,Not hiring,Ahmedabad,6 Months,"10,000","Sales, Negotiation, CRM"
Social Work,The We Foundation,Not hiring,"Agartala, Guwahati, Kolkata, Imphal, Mumbai, Aizawl, Angul",6 Months,"5,000","Communication, Teamwork"
Digital Marketing,Power Promotion,Not hiring,Work from home,3 Months," 5,000-10,000 ","SEO, Google Ads, Social Media Marketing"
Video Editor,Komal Maheshwari,Not hiring,Work from home,3 Months," 5,000-10,000 lump sum","Video Editing, Premiere Pro, After Effects"
Marketing,Codal.in,Not hiring,"Chennai, Coimbatore, Bangalore                                                            (Hybrid)",6 Months,"4,000","Marketing Strategy, Communication, Market Research"
Business Development Associate,Little Black Star Visual Effects Pvt. Ltd.,Not hiring,"Guntur, Hyderabad, Mangalagiri, Vijayawada",6 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Human Resources (HR),Bigbee Experience Management Private Limited,Not hiring,Bangalore,6 Months,"5,000","Recruitment, HR Management, Communication"
Electrical Engineering,Roima Intelligence India Pvt Ltd,Not hiring,Ahmedabad,6 Months,"15,000","Communication, Teamwork"
Social Media Marketing,SteamUp Foods,Not hiring,Bangalore,3 Months,"8,000","Marketing Strategy, Communication, Market Research"
Motion Graphics,Media AI Marketing,Not hiring,Work from home,3 Months," 6,000  +  Incentives","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),EXMASS HEALTHTECH PRIVATE LIMITED,Not hiring,Work from home,3 Months," 2,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Franco Rugs,Not hiring,Work from home,3 Months," 1,000  +  Incentives","Sales, Negotiation, Business Strategy"
Market Research,Beamstacks Technologies,Not hiring,Work from home,2 Months,"10,000","Research, Analysis, Report Writing"
Brand Management,Reform Your Skin,Not hiring,Work from home,2 Months," 4,000-8,000 ","Marketing Strategy, Branding, Communication"
Relationship Manager,Motilal Oswal Financial Services,Not hiring,Jaipur,3 Months," 5,000  +  Incentives","Communication, Teamwork"
Video Editing/Making,Catalyst Media Labs Private Limited,Not hiring,Work from home,3 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Graphic Design,Two Cents,Not hiring,"Delhi, Ghaziabad, Noida                                                            (Hybrid)",3 Months,"20,000","Graphic Design, Photoshop, Illustrator"
Video Editing/Making,Arunkumar Raman,Not hiring,Work from home,6 Months," 5,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Talent Acquisition,Whitefield Network,Not hiring,Work from home,6 Months,"3,000","Communication, Teamwork"
Full Stack Development,StepOut,Actively hiring,Work from home,6 Months," 10,000-15,000 ","React,Node,Express,Next,SQL"
Motion Graphics,Onerostech,Not hiring,Work from home,3 Months,"8,000","Graphic Design, Photoshop, Illustrator"
Accounting & Taxation,Senthil Kumar & Sundararajan,Not hiring,Chennai,3 Months," 25,000-30,000 ","Accounting, Tally, Excel"
Business Development (Sales),Flying Pigeon Solutions,Actively hiring,Work from home,2 Months," 3,000-5,000 ","Sales, Negotiation, Business Strategy"
Social Media Marketing,Sanjeev Singh,Not hiring,Work from home,6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Anchoring,Yes Property,Actively hiring,Bangalore,3 Months,"10,000","Anchoring, Public Speaking, Presentation"
Business Research,Netwale,Not hiring,Work from home,3 Months,"5,000","Sales, Negotiation, Business Strategy"
Graphic Design,Tagi Studio,Not hiring,Mumbai                                                            (Hybrid),3 Months,"8,000","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,Top One Percent,Not hiring,Work from home,2 Months,"5,000","Marketing Strategy, Communication, Market Research"
Telecalling,Artem Academy,Not hiring,Hyderabad                                                            (Hybrid),1 Month,"7,000","Communication, Sales, Customer Handling"
Reel Editor,Budding Mariners,Actively hiring,Work from home,4 Months,"2,000","Communication, Teamwork"
Graphic Design,YB One Strategic Solutions Pvt Ltd,Not hiring,Work from home,3 Months,"2,000","Graphic Design, Photoshop, Illustrator"
Human Resources (HR),Kishor Kalyanji Corp LLP,Not hiring,Mumbai,3 Months,"12,000","Recruitment, HR Management, Communication"
Android App Development,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid,"App Development, Flutter, React Native"
Python Development,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month,"1,000","Python,Django,SQL"
Machine Learning,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month,"1,000","Python, Neural Networks,R"
Java Development,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month,"1,000","springboot, JPA, Maven"
Cyber Security,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month,"1,000","Cyber Security, Networking, Ethical Hacking"
Social Media Manager,Ktex Overseas Private Limited,Not hiring,Delhi                                                            (Hybrid),3 Months,"5,000","Social Media, Content Creation, Analytics"
Influencer Marketing,Dollarpe Technologies Private Limited,Not hiring,Work from home,2 Months," 1,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Script Writer,Masquerade Pictures Pvt Ltd,Not hiring,Noida,3 Months," 10,000-30,000 ","Writing, SEO, Research"
Business Development (Sales),The Orange Bulletin,Not hiring,Work from home,3 Months," 4,000  +  Incentives","Sales, Negotiation, Business Strategy"
Content Writing,BrightChamps Tech Private Limited,Not hiring,Bangalore,6 Months,"15,000","Content Writing, Editing, SEO"
Social Media Marketing,Niswarth – The Selfless,Not hiring,Work from home,6 Months,Unpaid,"Marketing Strategy, Communication, Market Research"
Social Media Marketing,BAMC,Not hiring,Work from home,2 Months," 3,000  +  Incentives","Marketing Strategy, Communication, Market Research"
